WGTP,NP,RMSP,BDSP,HHT2,BATH,HHT,ACCESS,KIT,R65,R18,FES,R60,TEN,PUMA,ST,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,4110,36,
39,1,6,3,5,1,6,1,1,1,0,0,1,1,4110,36,
101,1,2,1,9,1,4,3,1,1,0,0,1,2,4110,36,
52,2,5,3,6,1,3,1,1,0,1,8,0,1,4110,36,
122,4,8,3,1,1,1,1,1,0,1,2,0,2,4110,36,
153,3,1,0,6,1,3,1,1,0,1,7,0,3,4110,36,
119,2,6,3,7,1,3,3,1,1,0,8,1,2,4110,36,
204,3,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
82,2,3,2,2,1,1,1,1,0,0,1,0,3,4110,36,
69,1,5,1,5,1,6,1,2,0,0,0,1,2,4110,36,
104,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
208,0,5,2,0,1,0,0,2,-1,-1,0,-1,0,4110,36,
185,0,6,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
42,1,3,1,9,1,4,3,1,0,0,0,1,4,4110,36,
181,1,3,1,9,1,4,1,1,0,0,0,0,3,4110,36,
38,2,5,2,4,1,7,1,1,0,0,0,0,1,4110,36,
39,2,6,3,2,1,1,3,1,2,0,4,2,2,4110,36,
57,1,3,1,5,1,6,3,1,1,0,0,1,2,4110,36,
57,1,4,2,5,1,6,3,1,1,0,0,1,2,4110,36,
80,4,6,3,1,1,1,1,1,0,1,1,0,3,4110,36,
92,1,6,3,9,1,4,1,1,0,0,0,0,4,4110,36,
45,1,10,4,5,1,6,3,1,1,0,0,1,2,4110,36,
38,6,6,3,2,1,1,1,1,2,1,3,2,1,4110,36,
37,4,5,3,2,1,1,1,1,2,0,1,2,1,4110,36,
53,1,5,2,5,1,6,1,1,1,0,0,1,2,4110,36,
190,6,5,3,1,1,1,1,1,0,1,1,0,3,4110,36,
125,1,2,1,9,1,4,1,1,0,0,0,0,3,4110,36,
75,2,4,2,12,1,5,1,2,1,0,0,2,3,4110,36,
41,3,11,3,2,1,1,1,1,2,0,4,2,2,4110,36,
47,3,6,3,7,1,3,1,1,0,0,7,0,3,4110,36,
38,3,5,3,2,1,1,1,1,2,0,4,2,2,4110,36,
131,3,4,2,2,1,1,1,1,0,0,2,0,3,4110,36,
41,4,8,3,1,1,1,1,1,0,1,1,0,1,4110,36,
286,2,4,2,6,1,3,1,1,0,1,8,0,3,4110,36,
119,5,5,2,11,1,2,1,1,0,1,6,0,3,4110,36,
61,2,6,3,2,1,1,1,1,2,0,4,2,2,4110,36,
